,cumulative_strategy,cumulative_benchmark
2023-03-16,1.0,0.9889805426899325
2023-03-17,0.99108159628169,0.9978006704391947
2023-03-20,1.0039480097331452,1.0107543122141762
2023-03-21,0.9874197889897262,0.9941140377899267
2023-03-22,0.9844728062575828,0.9970809996999626
2023-03-23,0.9900250431307985,1.0027043443540031
2023-03-24,0.9916555691383814,1.0043557525913294
2023-03-27,0.9900948584709022,1.0027750538227282
2023-03-28,0.9900948584709022,1.0170518318899948
2023-03-29,0.9957535173073985,1.0228645570914843
2023-03-30,1.0101287552514149,1.0376311847127975
2023-03-31,1.0138650664386308,1.041469223164323
2023-04-03,1.0138650664386308,1.035431855151992
2023-04-04,1.0138650664386308,1.0328511753091165
2023-04-05,1.0138650664386308,1.0365479181178188
2023-04-06,1.0138650664386308,1.0375806339156273
2023-04-10,1.0138650664386308,1.0375377273853459
2023-04-11,1.0138650664386308,1.0332476291830248
2023-04-12,1.0138650664386308,1.0469512721755407
2023-04-13,1.0117670009651405,1.0447847389855827
2023-04-14,1.015112061419574,1.048238961262493
2023-04-17,1.0159802058571878,1.049135436497195
2023-04-18,1.0159802058571878,1.04904703424946
2023-04-19,1.0159802058571878,1.0428025312633566
2023-04-20,1.0159802058571878,1.0437443789208851
2023-04-21,1.0159802058571878,1.0446332098886981
2023-04-24,1.0159802058571878,1.0281166616228894
2023-04-25,1.0159802058571878,1.024167473064902
2023-04-26,1.0159802058571878,1.0442064871838013
2023-04-27,1.0243652964896297,1.052824535039008
2023-04-28,1.0239697824003116,1.0524180326529795
2023-05-01,1.0239697824003116,1.040224440607653
2023-05-02,1.0239697824003116,1.0329446326365692
2023-05-03,1.0239697824003116,1.0254880818173289
2023-05-04,1.0050521952400897,1.044433719181815
2023-05-05,1.005506608146624,1.0449059376041652
2023-05-08,1.005506608146624,1.040120873120767
2023-05-09,1.005506608146624,1.0447847389855829
2023-05-10,1.0038006415099052,1.0430121321296741
2023-05-11,1.0038006415099052,1.0413607238923477
2023-05-12,1.0038006415099052,1.0444412401540768
2023-05-15,1.0038006415099052,1.037780124622511
2023-05-16,1.0038006415099052,1.050120190685005
2023-05-17,1.0038006415099052,1.06003862697377
2023-05-18,1.0023492786799955,1.058505951462481
2023-05-19,1.0023492786799955,1.058670056611345
2023-05-22,1.0023492786799955,1.0467896329192221
2023-05-23,1.0023492786799955,1.0391285979606952
2023-05-24,1.0023492786799955,1.0482288511030593
2023-05-25,1.0023492786799955,1.0619072803443035
2023-05-26,1.0023659209541986,1.0619249114759997
2023-05-30,1.0023659209541986,1.0554380112527315
2023-05-31,1.0023659209541986,1.0658387761232813
2023-06-01,1.0169347329601333,1.0813301295635436
2023-06-02,1.0148972212042475,1.0791635963735855
2023-06-05,1.0148972212042475,1.0817038355787247
2023-06-06,1.0110284231526587,1.0775803700651259
2023-06-07,1.0110284231526587,1.084249129863581
2023-06-08,1.0121891439785051,1.0854939124202516
2023-06-09,1.0121891439785051,1.0956119627105274
2023-06-12,1.019206135048127,1.1032072816327325
2023-06-13,1.019206135048127,1.1041112778396966
2023-06-14,1.019206135048127,1.117557296708583
2023-06-15,1.019206135048127,1.1134540515138525
2023-06-16,1.0240321858636576,1.10818172666358
2023-06-20,1.0294035230285712,1.1023690014620904
2023-06-21,1.0255836140674994,1.106459670604842
2023-06-22,1.0255836140674994,1.0979855075796308
2023-06-23,1.0255836140674994,1.0930590241587819
2023-06-26,1.0255836140674994,1.1055809497964633
2023-06-27,1.0252204788177137,1.1051894893549588
2023-06-28,1.0252204788177137,1.1101336039075038
2023-06-29,1.0252204788177137,1.1237538380846883
2023-06-30,1.0252204788177137,1.125069391757398
2023-07-03,1.0252204788177137,1.1228548969574415
2023-07-05,1.0252204788177137,1.1139590663070507
2023-07-06,1.0281578385637788,1.1107674615861733
2023-07-07,1.0281578385637788,1.1134388862747018
2023-07-10,1.0281578385637788,1.1209459262437993
2023-07-11,1.0281578385637788,1.129253518227602
2023-07-12,1.0368664932355307,1.1388184688200542
2023-07-13,1.0368664932355307,1.1376518550570571
2023-07-14,1.0368664932355307,1.142037938126689
2023-07-17,1.0368664932355307,1.1501661364278495
2023-07-18,1.0368664932355307,1.1528781250487417
2023-07-19,1.0368664932355307,1.145088247204743
2023-07-20,1.0365304504851336,1.145459364032752
2023-07-21,1.0365304504851336,1.1500803233672865
2023-07-24,1.0365304504851336,1.1533174238056174
2023-07-25,1.0365304504851336,1.1531381534176026
2023-07-26,1.0365304504851336,1.1457296258556744
2023-07-27,1.0262917656432675,1.1570469629851672
2023-07-28,1.0277990936402162,1.158746332832492
2023-07-31,1.0277990936402162,1.155658172303874
2023-08-01,1.0420233616821108,1.1396643932575863
2023-08-02,1.0446784099487905,1.1367605581967
2023-08-03,1.0502152829896991,1.1307356429417208
2023-08-04,1.0502152829896991,1.1409395062925594
2023-08-07,1.0502152829896991,1.1361267005180309
2023-08-08,1.0502152829896991,1.1281298109948872
2023-08-09,1.0499519793734535,1.1284126488697885
2023-08-10,1.0499519793734535,1.127205594469055
2023-08-11,1.0499519793734535,1.1336875629072334
2023-08-14,1.0378240791550777,1.1205924405474876
2023-08-15,1.045665250232148,1.1121259217891657
2023-08-16,1.0537303753646747,1.1035481912770684
2023-08-17,1.053887072264256,1.1033840861282047
2023-08-18,1.053887072264256,1.11097447326532
2023-08-21,1.0509599359850983,1.1078887786292466
2023-08-22,1.0393522096430967,1.1201252772048547
2023-08-23,1.025364633939635,1.1050506596046823
2023-08-24,1.0184762691526468,1.1124743524057616
2023-08-25,1.0184762691526468,1.119443581210814
2023-08-28,1.0332526357358687,1.1356848125739836
2023-08-29,1.0372132812475738,1.1400380992727681
2023-08-30,1.0355569174879204,1.138217530806861
2023-08-31,1.0355569174879204,1.1402653312707818
2023-09-01,1.0355569174879204,1.1354828559745558
2023-09-05,1.0427764054222717,1.1275667244322578
2023-09-06,1.0461250377720628,1.1239458078193116
2023-09-07,1.0461250377720628,1.1255492544466394
2023-09-08,1.0531586104068236,1.1331168320777145
2023-09-11,1.0471599394382056,1.1266627282252937
2023-09-12,1.0471599394382056,1.1280616290660213
2023-09-13,1.0471599394382056,1.1375710970762132
2023-09-14,1.0344268798897478,1.1237386728455394
2023-09-15,1.0336807605077034,1.1245492117250515
2023-09-18,1.0336807605077034,1.1221302944331217
